class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,60874,?,1368,458,0,0,0,0,0,0,43752,1966618,1800340,131646,4588,0,1974038,0,226,0,0,0,3230626,2618878,1058136,551022,0,0,0,0,1788,642,0,0,0,0,42124,372236,2128914,819596,584074,0,1644,362,562,842,30194,3911734,1606,0,0,0,1348578,1035668,338762,236540,182278,151778,163248,470800,19292,0,4289260,448,556,642,2,1974038,86454,653692,399410,306780,282560,274180,?,?,?,?,?,189000,60874.03,4289260,4289260,4283332,24793.0,17052,61844,654700,3946944,1209600,135720,0,152,0,3565684.8,0,379111.68,0,746,0,0,356,378910,2497104,993000,64230,10482,2776,86,202,212,4289260,?,3942,520,80950,227322,186242,2288268,1137268,22228,204,0,1716,1664,3440288,215826,0,4262,0,0,3590004,2026,444,0,0,0,0,0,0,0,0,44946,62648,11506,0,0,149474,35154,457040,80482,98334,27588,0,0,21173050,1116.06,1176,404740,904230,622012,229790,405298,347188,286954,311560,433954,1218,0,0
pos,153204,0,182,?,0,0,0,0,0,11804,684444,326536,31586,0,0,0,2658638,14346,0,0,29384,46356,5566182,4426834,1571480,1120644,2,0,0,0,1368,862,0,0,0,0,0,0,0,94188,960182,0,250,16,32,146,126,951126,91162,11512,0,0,702994,186172,69282,36640,20698,17720,18586,2278,0,0,7167172,692,152,1690,294,2658638,126990,355360,1215418,263620,263960,253220,260500,270840,?,?,?,255200,153203.49,7167172,7167172,1065896,2169.0,415352,108024,1114900,6785612,1209600,0,?,?,?,14779408.32,5602235.52,6587273.28,0,8,0,0,32854,113024,413450,341800,110462,40426,2354,0,?,0,7167172,0,556,62,11606,370336,119892,399936,149156,2826,0,0,?,?,?,?,?,?,?,?,?,16910,218,0,0,55760,1433920,0,0,0,0,51558,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,166,512878,293880,129862,26872,34044,22472,34362,0,0,0,0,0
neg,41212,0,2130706434,104,104,172,0,0,0,0,9268,1343962,881214,81244,3876,0,1027430,0,32,0,0,0,2166316,1929602,679632,169490,0,0,3850,0,148,628,0,0,0,0,0,0,22990,796396,1500178,0,1602,1200,1992,5188,47486,175800,2086290,6,0,0,724890,783694,245928,138998,93056,74112,63832,96376,51000,47678,2846732,754,3128,6292,2,1027430,27030,499604,178442,301120,271600,?,?,?,?,?,?,100380,41212.87,2846732,2846732,2809046,14123.0,0,38044,419060,2321054,1209600,63758,2,78,0,2067268.8,0,250670.4,4,514,0,0,24,102928,754000,1027420,323420,99164,12510,98,288,288,2846732,0,3280,278,62158,170718,373006,1691314,18804,6,0,0,88,928,2084430,924590,0,1670,0,0,2085538,1988,1592,0,0,0,0,0,0,0,0,14900,8576,3004,4985196,628460,62386,11574,12170880,1216948,2745760,12524,0,0,1212960,1216.44,1244,265986,285848,171390,95844,177206,173184,404690,736142,9268,6,0,0
pos,453236,?,2926,?,0,0,0,0,222,323436,2999280,20657518,12530224,913700,12670,0,18489312,19038,0,?,117902,203782,32633282,28658284,5348896,3667892,0,0,0,0,24514,1858,2273870,2608460,1424956,1607946,1409344,2051868,2227058,8113476,15720072,0,28828,33264,47402,627172,26128758,10570790,804,22,8,2,12630142,9040546,7110184,4970218,2616558,886208,160242,22100,842,10,38100406,632,1686,2018,684,18489312,447850,2507262,2827898,366980,314860,176220,232680,162300,189300,187600,189400,190440,453236.92,38100374,38100374,37843756,189372,8436120,?,565520,37437050,1209600,0,?,?,?,33480473.28,0,3935856.96,?,?,0,24598,523608,11350372,19808010,5225236,439104,59042,6950,130,?,42,38100374,?,16738,3392,1441482,1867216,1513156,21289878,11184234,120904,50,0,?,?,?,?,?,?,?,?,?,18132,2442,0,0,0,0,0,0,0,0,260830,169964,26740,73289586,16623244,1056682,155406,93686740,28423762,7966,382610,0,0,432739640,?,?,4079752,13176956,7908038,3026002,5025350,2025766,1160638,533834,493800,6914,0,0
neg,11572,0,62,?,0,0,0,0,0,0,272346,1208300,280120,20940,0,0,794230,0,0,0,3794,5686,1752498,1658112,159158,71502,0,0,0,0,0,0,0,0,0,0,0,0,0,105566,1676140,0,5922,1008,850,764,2044,1086250,684860,8,0,0,1052330,308284,137208,111202,56756,34530,23454,20076,10938,26928,1915990,40,76,392,410,794230,16618,66900,91606,113740,?,?,?,?,?,?,?,41240,11572.39,1915990,1915990,1903256,5995.0,171822,68724,701140,1783066,1209600,0,?,?,?,845237.76,650043.84,282062.4,10,152,0,0,12866,180186,798630,507812,136328,69732,50498,25654,?,0,1915990,0,6148,472,177768,171584,102876,673338,620524,27938,1056,2,?,?,?,?,?,?,?,?,?,1720,284,0,0,15120,655834,0,0,0,0,8624,2316,270,0,0,48872,9340,1358520,507524,0,0,0,0,0,1055.52,1080,951334,273390,246058,90772,85754,28014,27874,78510,0,0,0,0
pos,72504,?,1594,1052,0,0,0,244,178226,1249396,3813464,4876588,1202196,80186,5892,1154,?,?,?,?,?,?,?,?,?,?,0,?,?,?,6488,1414,0,0,0,0,0,0,605072,8238656,2563618,0,8592,7120,15282,23666,1102276,10250396,14,0,0,0,7118800,2398182,787330,396066,243178,157416,110850,103378,72600,19546,?,366,234,90,4,?,?,?,?,?,?,?,?,?,?,?,?,?,72504.05,?,?,11636426,35035.0,1402,?,?,11407346,?,290216,0,1180,0,5581807.68,0,5817712.32,150,780,27232,622982,2436254,5437272,2478172,372132,28154,4912,236,0,8,16,?,?,6672,1154,2769170,2753324,3317804,2547452,11770,0,0,0,2210,3508,5359592,113530,0,6,0,0,5805990,14806,4982,0,0,0,0,0,0,0,0,?,42400,7362,0,0,339296,53004,88760,10772,0,0,0,0,1550150,2365.36,2720,5935440,2161030,1432098,372252,527514,358274,332818,284178,3742,0,0,0
neg,1072,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,27196,0,0,0,9650,15844,63848,58116,26150,6210,0,0,0,0,28,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99746,20,8,8,0,27196,750,9274,16532,?,?,?,?,?,?,?,?,25280,1072.45,99746,99746,202,0,0,9378,98820,0,1209600,2354,2,22,0,59285.76,0,18736.32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99746,0,0,0,0,0,0,0,0,0,0,0,42,174,61748,7748,0,90,0,0,61748,248,126,0,0,0,0,0,0,0,0,990,18,18,0,0,1166,264,423720,42424,0,0,0,0,72470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,10,?,20,2,2,2,?,?,?,?,?,?,?,?,?,?,2168,0,468,0,0,0,12224,9848,12180,108,0,0,0,0,8,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24416,0,22,0,0,2168,134,10436,1660,?,?,?,?,?,?,?,?,12040,9.96,24416,24416,25050,17.0,72,2308,24220,5706,1209600,244,0,4,0,1840.32,29.76,2904,0,8,?,?,?,?,?,?,?,?,?,?,0,6,24416,?,?,?,?,?,?,?,?,?,?,?,8,2,1114,142,0,0,0,0,2170,66,62,0,0,0,30,0,0,0,0,146,0,0,78,18,16,12,1980,228,82,12,0,0,0,110.04,38,?,?,?,?,?,?,?,?,?,?,0,0
pos,762958,?,?,?,?,?,776,281128,2186308,8123016,18022646,17301098,6753568,649400,33662,0,14649948,0,0,?,5043850,7995294,30556606,30750228,11311258,4023056,?,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13248978,22775258,9051478,3522892,1865404,1339114,808046,603756,121146,15530,46928678,?,?,?,?,14649948,625808,4416756,6867730,360880,360780,362340,312140,332700,301160,357580,399320,231440,762958.1,46928678,46928678,58063226,264513.0,?,?,809460,53351602,1209600,?,?,?,?,39460076.16,0,6396803.52,?,?,598472,3427866,13985542,19947034,11835244,3217070,305942,32080,2320,32,?,?,46928678,?,44018,7646,3005974,2626958,22675436,24722062,269506,2,0,0,2568,9484,11671410,3283150,282,2846,0,0,12020128,?,?,?,?,?,?,?,?,?,?,382508,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
neg,28006,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,2128138,0,0,0,74388,105324,5406764,5037776,691222,368676,0,0,0,0,2046,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6173314,150,126,782,64,2128138,50518,176378,513168,107960,142360,125840,101320,189700,?,?,?,15160,28006.51,6173314,6173314,1620,0,254,6904,115460,0,1209600,159206,0,0,0,2228871.36,2690226.24,1022703.36,0,0,0,0,0,0,0,0,0,0,0,0,0,928,6173314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6152,4996,0,0,25430,2715400,0,0,0,0,23918,4104,738,0,0,122768,24666,27580,3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
